timestep,reward
4,-0.4105
400,-0.285
746,-0.236
1148,-0.213
1504,-0.1535
1906,-0.162
2312,-0.1465
2678,-0.172
3066,-0.1155
3432,-0.149
3860,-0.119
4240,-0.1115
4648,-0.1115
5052,-0.073
5406,-0.0805
5778,-0.117
6172,-0.079
6548,-0.0915
6930,-0.08
7316,-0.1095
7686,-0.0875
8078,-0.0505
8460,-0.0855
8836,-0.1355
9200,-0.0915
9612,-0.108
9974,-0.06
10386,-0.0685
10758,-0.085
11116,-0.11
11502,-0.1115
11850,-0.082
12240,-0.078
12640,-0.0615
13034,-0.0725
13454,-0.0815
13830,-0.067
14192,-0.0985
14544,-0.1005
14936,-0.0785
15328,-0.0655
15700,-0.082
16052,-0.047
16400,-0.0915
16792,-0.085
17224,-0.1015
17592,-0.0725
17958,-0.057
18356,-0.1065
18730,-0.076
